baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
NM_001006969.1	103.029994543156	-1.20243928109788	0.336151561473872	-3.57707480466766	0.000347460764404254	0.0430453829190135	NM_001006969	NM_001006969	Irf3	ENSRNOG00000043388
NM_001012034.1	21.310957486401	-6.63831951394585	1.44297724639201	-4.60043256436936	4.21614498531795e-06	0.00203747819728498	NM_001012034	NM_001012034	Art3	ENSRNOG00000002256
NM_001012112.1	4.44938237186122	-5.54925811211522	1.57686665916963	-3.51916763528848	0.000432903077088665	0.0485865154120587	NM_001012112	NM_001012112	Ankrd9	ENSRNOG00000008056
NM_001012207.1	11.1594354327327	-6.284028150995	1.55390289061107	-4.0440288701206	5.25404452770821e-05	0.0120954724296539	NM_001012207	NM_001012207	Pigc	ENSRNOG00000026497
NM_001013188.2	108.597903010696	-0.545553520621196	0.153061124743604	-3.56428532414789	0.0003648489144388	0.0440145069348211	NM_001013188	NM_001013188	Leprotl1	ENSRNOG00000012601
NM_001024781.1	99.8313601117803	-0.993181039095399	0.217235252055164	-4.57191468557411	4.83287717963041e-06	0.00227901338872346	NM_001024781	NM_001024781	Sox18	ENSRNOG00000016248
NM_001030023.1	37.7280760335221	-0.87942508602319	0.239538464302559	-3.6713314021768	0.000241290226076433	0.0340802045400805	NM_001030023	NM_001030023	Map2k4	ENSRNOG00000003834
NM_001038596.1	150.85518663941	-0.519589795677209	0.109128169204562	-4.76128024014801	1.92368699804606e-06	0.00110280072082103	NM_001038596	NM_001038596	Dnaja3	ENSRNOG00000003855
NM_001039025.2	534.441206008513	-0.940302470602428	0.172293737534215	-5.45755454643672	4.82736878987986e-08	4.78433156982093e-05	NM_001039025	NM_001039025	Tln1	ENSRNOG00000016630
NM_001100804.1	122.028314646182	-0.676308289882776	0.181743603512183	-3.72122196772357	0.000198261071360666	0.0295742803233254	NM_001100804	NA	NA	NA
NM_001104612.2	112.599354082796	-0.64439352040794	0.18024075813355	-3.57518203474529	0.000349984297073031	0.0430841721832598	NM_001104612	NM_001104612	Jrk	ENSRNOG00000027238
NM_001107778.1	209.813199406557	-0.7313526235007	0.163686063918723	-4.46802009891232	7.89468898065338e-06	0.00320171491764236	NM_001107778	NM_001107778	Hspa12b	ENSRNOG00000021244
NM_001107806.1	68.0584723414897	-1.38872206614103	0.246599226074014	-5.63149401662849	1.78655175267388e-08	2.04836916050692e-05	NM_001107806	NM_001107806	Npepl1	ENSRNOG00000028384
NM_001107821.2	2.76693276495756	-4.87223042879287	1.33869695518558	-3.6395320165029	0.000273133977827553	0.0370562325278152	NM_001107821	NM_001107821	Agpat2	ENSRNOG00000019466
NM_001107914.1	47.8935987760134	-8.97088501135076	1.77147700557296	-5.06407081950762	4.10397075793587e-07	0.000296266155678447	NM_001107914	NM_001107914	Adgrb2	ENSRNOG00000014375
NM_001109064.1	7.10182869225594	-6.22080686299057	1.58552902476516	-3.92348974116822	8.72754834445293e-05	0.0172132246548892	NM_001109064	NM_001109064	Gal3st4	ENSRNOG00000001375
NM_001109532.2	74.4232281060615	-0.787157633160193	0.21011010025922	-3.74640549021227	0.000179386543092896	0.0277498643407778	NM_001109532	NM_001109532	Mapk11	ENSRNOG00000006984
NM_001130544.1	10.6404136329528	-2.7124947947612	0.667571767432748	-4.06322574903449	4.83991798733175e-05	0.0115987444422638	NM_001130544	NM_001130544	Slurp1	ENSRNOG00000005944
NM_001191072.1	31.4641409128869	-8.3682762096827	1.43959911673863	-5.81292118922716	6.13919688467478e-09	8.15871360532894e-06	NM_001191072	NM_001191072	Ppp1r16b	ENSRNOG00000015614
NM_001270637.1	8.35149076620146	-5.85732341803293	1.57226895593814	-3.72539532496078	0.00019500936325952	0.0292384038647107	NM_001270637	NM_001270637	Bdnf	ENSRNOG00000047466
NM_001271439.1	133.559451919246	-0.852333679887256	0.204096024198993	-4.17614053596768	2.96496681556085e-05	0.00830286448212893	NM_001271439	NM_001271439	Phf20l1	ENSRNOG00000005486
NM_001305261.1	14.441546779907	-1.55778104782595	0.423914725433169	-3.67475096845046	0.000238081519371355	0.0337902397177684	NM_001305261	NM_001305261	Gbp4	ENSRNOG00000028768
NM_012618.2	48.2164935212235	-1.50675206551628	0.403203205822638	-3.73695457713963	0.000186262555754156	0.0282896537277104	NM_012618	NM_012618	S100a4	ENSRNOG00000011821
NM_012862.2	173.405147594887	-0.611643441077189	0.141202906378838	-4.33166325511877	1.47987158294407e-05	0.00500196595035095	NM_012862	NM_012862	Mgp	ENSRNOG00000005695
NM_013104.3	174.426404593007	-0.512379849953572	0.131889697381705	-3.88491186290832	0.000102367018039189	0.0194344448468296	NM_013104	NM_013104	Igfbp6	ENSRNOG00000010977
NM_013125.3	17.1079455678015	-7.48403311614856	0.979486553900878	-7.64077167403968	2.15923674677666e-14	1.63038054903603e-10	NM_013125	NM_013125	Scn5a	ENSRNOG00000015049
NM_013138.2	189.56754686824	-0.684970131919533	0.107774774974988	-6.35557004947121	2.07655092166072e-10	3.5713011350938e-07	NM_013138	NM_013138	Itpr3	ENSRNOG00000052795
NM_019131.2	14.1318009451199	-4.2245569201264	0.803533534558112	-5.25747431617725	1.46047283554485e-07	0.000135555061247063	NM_019131	NM_019131	Tpm1	ENSRNOG00000018184
NM_022285.2	241.54918246177	-0.502618661094966	0.140266688321946	-3.58330739185438	0.000339270956610562	0.0425004368402746	NM_022285	NM_022285	Hapln2	ENSRNOG00000018870
NM_022297.3	218.03166851187	-0.570869401489468	0.139878632779787	-4.08117658962393	4.48082941333184e-05	0.0110089083661835	NM_022297	NM_022297	Ddah1	ENSRNOG00000014613
NM_024160.2	66.9538666050125	-0.602319852708314	0.149189004502575	-4.03729386570119	5.40713198910441e-05	0.0122549083694144	NM_024160	NM_024160	Cyba	ENSRNOG00000013014
NM_031602.2	431.345551865519	-0.529308010213578	0.120214028149933	-4.40304695183672	1.06741053735072e-05	0.00397827921179218	NM_031602	NM_031602	Kcnj10	ENSRNOG00000068444
NM_031675.2	65.076509907066	-9.41391368853297	2.29228772599286	-4.10677664142511	4.01218863501074e-05	0.0102003790540704	NM_031675	NM_031675	Actn4	ENSRNOG00000020433
NM_053485.2	83.6993931755803	-0.934772774011758	0.262377746308325	-3.56269838873183	0.000367062321076077	0.0441637904580299	NM_053485	NM_053485	S100a6	ENSRNOG00000011647
NR_037390.1	27.4787167484469	-0.900635788541399	0.251350507087872	-3.5831866781416	0.000339427848349834	0.0425004368402746	NR_037390	NA	NA	NA
XM_001061329.7	5.96340598359565	-5.96456769496699	1.69118138612	-3.52686455983957	0.000420511812900668	0.0477720951410677	XM_001061329	NA	NA	NA
XM_002728626.6	7.96481429926939	-2.43001625303175	0.619954617220898	-3.9196679652535	8.86710459165203e-05	0.0173409723709786	XM_002728626	NA	NA	NA
XM_003750806.3	6.93119706166855	-2.54740687886092	0.695737638940122	-3.66144755764775	0.00025079420191905	0.0348335870855451	XM_003750806	NA	NA	NA
XM_006227670.4	12.3143603598501	-7.01280309556629	1.01204051267637	-6.92936992909574	4.22719086724111e-12	1.1235489035048e-08	XM_006227670	NA	NA	NA
XM_006229187.3	6.74802923558972	-6.14318036931314	1.67642204617236	-3.66445930685497	0.000247861641988977	0.034590600605402	XM_006229187	NA	NA	NA
XM_006229669.4	40.1786794506033	-7.55653645037607	1.72053766687423	-4.39196223126246	1.12332216199163e-05	0.00413114088681124	XM_006229669	NA	NA	NA
XM_006229728.4	60.4966689462258	-5.86106912064246	0.875772821756705	-6.69245376773144	2.19459095018304e-11	4.75283374892604e-08	XM_006229728	NA	NA	NA
XM_006231380.4	7.91181527636384	-4.18496912501047	1.15131873299079	-3.63493531816264	0.000278050387936014	0.0374624847561532	XM_006231380	NA	NA	NA
XM_006231502.4	30.3300697799631	-8.311580750418	1.93361900681802	-4.29845834216101	1.7199021766496e-05	0.00558719777096715	XM_006231502	NA	NA	NA
XM_006233077.3	8.43714031957006	-6.47026678464806	1.69955769005886	-3.80702980692816	0.000140645799458795	0.0234637596114618	XM_006233077	NA	NA	NA
XM_006233905.3	46.9328491056001	-6.16250744659363	1.62498348938432	-3.7923508065479	0.000149227904954612	0.0243062744131364	XM_006233905	NA	NA	NA
XM_006233946.3	19.8399539903806	-7.11645311614822	1.73409603054971	-4.10384026650029	4.06348074087787e-05	0.0102417229673316	XM_006233946	NA	NA	NA
XM_006234953.4	62.6772168485011	-8.78064667466203	1.59257964223892	-5.51347414080831	3.51818749280888e-08	3.74040900826376e-05	XM_006234953	NA	NA	NA
