baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	refseq_id	refseq_mrna	external_gene_name	ensembl_gene_id
NM_001013241.2	134.328598437147	0.526014604902074	0.145238361944444	3.62173325187517	0.000292635784320492	0.0388899655735373	NM_001013241	NA	NA	NA
NM_001014193.2	1378.60822486738	0.504165548933899	0.13278995901768	3.7967143951507	0.000146626555010203	0.0239980342085857	NM_001014193	NM_001014193	Rsrp1	ENSRNOG00000017309
NM_001034069.1	659.268954466522	0.573364623646536	0.149727734668443	3.82938154321371	0.000128465701779596	0.0224235923757018	NM_001034069	NM_001034069	Tpm1	ENSRNOG00000018184
NM_001038595.1	152.422695432234	0.649706703911989	0.183090714216606	3.54855081914941	0.000387357243033346	0.0460227015097609	NM_001038595	NM_001038595	Dnaja3	ENSRNOG00000003855
NM_001100506.1	5.49734181634352	5.94958206546862	1.61896535772191	3.67492858144934	0.000237915957118084	0.0337902397177684	NM_001100506	NM_001100506	Cdk18	ENSRNOG00000008137
NM_001107296.1	2.59784900500192	4.87107032589364	1.17513431553861	4.14511793374107	3.39638862515558e-05	0.00898644472702929	NM_001107296	NM_001107296	Ercc6	ENSRNOG00000030017
NM_001107390.2	217.466410886579	1.08407466975704	0.274808269389446	3.94484005945519	7.98532590382165e-05	0.016148227568871	NM_001107390	NM_001107390	Tcerg1	ENSRNOG00000018849
NM_001107811.1	34.5242557193424	7.44249902456585	1.7779223631197	4.18606525175069	2.83831784609483e-05	0.00812296304005735	NM_001107811	NM_001107811	Gpr155	ENSRNOG00000018485
NM_001108128.1	496.345261685518	0.505070022021347	0.0923170261725275	5.47103869092839	4.47405600017078e-08	4.51061983713769e-05	NM_001108128	NM_001108128	Chordc1	ENSRNOG00000026643
NM_001113543.1	51.9274970976859	5.43219211194159	0.923010055123091	5.88530112081733	3.97329911883455e-09	5.40313238778445e-06	NM_001113543	NM_001113543	Wtap	ENSRNOG00000019091
NM_001191814.1	4.43509982941291	5.64204860272739	1.54739352695322	3.64616272748434	0.000266185449037839	0.0364518218900201	NM_001191814	NM_001191814	Mettl4	ENSRNOG00000026280
NM_001195564.1	67.0229366692073	9.56220641636738	2.51350797177494	3.80432706947611	0.000142190204845324	0.0235536261703271	NM_001195564	NM_001195564	Uaca	ENSRNOG00000012868
NM_001270621.1	8.99127409939244	6.66438710771485	1.60710915397533	4.14681671822344	3.371297191234e-05	0.00898644472702929	NM_001270621	NM_001270621	P2rx3	ENSRNOG00000008552
NM_001277694.1	113.602344397885	1.22326957249391	0.345333684328554	3.54228280647559	0.000396679940592249	0.0466098896946252	NM_001277694	NM_001277694	Map3k5	ENSRNOG00000031700
NM_001329896.1	580.098675817911	2.60529996400346	0.341440067234784	7.6303287575561	2.34155807324858e-14	1.63038054903603e-10	NM_001329896	NA	NA	NA
NM_012791.3	576.087537030711	1.47995472249589	0.262343307552684	5.641290171653	1.68780638798368e-08	1.97385581461915e-05	NM_012791	NM_012791	Dyrk1a	ENSRNOG00000001662
NM_013079.2	177.347716033644	0.739728966636445	0.183539663897792	4.0303493584274	5.56940130962944e-05	0.0124775928038035	NM_013079	NM_013079	Asns	ENSRNOG00000007546
NM_013219.1	522.536995258755	0.548138024777347	0.122713489584735	4.46681148610685	7.93940320583751e-06	0.00320171491764236	NM_013219	NM_013219	Cadps	ENSRNOG00000008570
NM_017166.2	413.494234166074	1.64347715299904	0.407990311541111	4.02822593210877	5.61993238407136e-05	0.0125427452758087	NM_017166	NM_017166	Stmn1	ENSRNOG00000016810
NM_017241.2	28.4978456820039	8.32805484912914	1.70989755564217	4.87049930076159	1.113165952629e-06	0.000685171220147663	NM_017241	NM_017241	Grik1	ENSRNOG00000001575
NM_031059.1	52.9793716016283	0.80417020071202	0.221975025871776	3.62279584180137	0.000291435841954164	0.038889002140742	NM_031059	NM_031059	Msx1	ENSRNOG00000068566
NM_031971.2	352.636087375025	2.36920433943759	0.339369083829054	6.98120262666883	2.92663842206686e-12	8.14915500437799e-09	NM_031971	NM_031971		ENSRNOG00000050647
NM_080904.2	4878.68537604994	0.58728593138334	0.125190510414438	4.69113776626644	2.71689945129164e-06	0.00138146068273763	NM_080904	NM_080904	Fkbp11	ENSRNOG00000054775
NR_046237.2	83957.3209979203	2.54680756349992	0.667183452320975	3.81725229341372	0.000134946159513655	0.022872005018555	NR_046237	NA	NA	NA
NR_046238.1	81.6824790466891	3.50657967701511	0.992881754139505	3.53171932346983	0.000412867325503913	0.04760339530241	NR_046238	NA	NA	NA
NR_046246.2	45543.8014450528	2.43269079374825	0.6496975339994	3.7443435851959	0.000180866009283953	0.0278314711233418	NR_046246	NA	NA	NA
XM_002728891.6	45.2671445547229	1.29811505714898	0.321316582717443	4.03998774719481	5.34539939566627e-05	0.012178844653353	XM_002728891	NA	NA	NA
XM_006228927.3	36.1071426953271	22.6554735894921	3.02717939314907	7.48402081514053	7.2082531276396e-14	3.0106813813257e-10	XM_006228927	NA	NA	NA
XM_006229323.4	7.4576034520998	6.38987950640115	1.59999853095751	3.99367835830271	6.50561002282433e-05	0.0138662030383576	XM_006229323	NA	NA	NA
XM_006229367.4	163.814249287811	0.547425457277754	0.144831015819007	3.77975293608284	0.00015698405049996	0.0252183663981722	XM_006229367	NA	NA	NA
XM_006230277.4	316.558131441228	0.73760870470743	0.172635349189437	4.27264003676346	1.93172161403725e-05	0.00613888530756598	XM_006230277	NA	NA	NA
XM_006231027.4	23.8583423409549	22.0479786883496	3.02768886892035	7.28211505306083	3.28626613190318e-13	1.01137434629951e-09	XM_006231027	NA	NA	NA
XM_006232581.4	594.545221696452	0.633232513612761	0.177484954927037	3.56780952995751	0.000359978018104489	0.0436708602295475	XM_006232581	NA	NA	NA
XM_006233672.4	43.0751674738351	5.78564825906241	0.936759620942001	6.17623574897943	6.56479403304989e-10	1.06630490635711e-06	XM_006233672	NA	NA	NA
XM_006235642.4	40.0097670785687	8.81872520298897	2.49386223110938	3.53617176321164	0.000405970645982343	0.0471006499070864	XM_006235642	NA	NA	NA
XM_006236497.4	50.4546377761315	9.15318006187147	1.68953229357386	5.41758218927547	6.04103820731849e-08	5.88739446891236e-05	XM_006236497	NA	NA	NA
XM_006240788.4	12.8036228980912	7.17515019810258	1.87331406369062	3.83019074973835	0.000128043962415039	0.0224168941863982	XM_006240788	NA	NA	NA
XM_006243474.4	106.693404367868	0.748675202919199	0.17928323753719	4.17593531444286	2.9676414761517e-05	0.00830286448212893	XM_006243474	NA	NA	NA
XM_006243767.4	84.7657061356979	0.752589931682329	0.174920589296435	4.30246624888124	1.68907406672619e-05	0.00554870320099703	XM_006243767	NA	NA	NA
XM_006247737.4	6.33963024100922	6.15540816145081	1.70844275244867	3.60293498428812	0.000314644249290122	0.0407046633473243	XM_006247737	NA	NA	NA
XM_006251087.2	21.4345088163979	1.64065375466469	0.458730755304743	3.57650699390054	0.000348216004512532	0.0430477434415767	XM_006251087	NA	NA	NA
XM_006253047.4	262.735888271354	0.950080371939612	0.200704803899368	4.73372013764043	2.20441630787917e-06	0.00120468260922361	XM_006253047	NA	NA	NA
XM_006255581.3	979.073161403405	0.507248854290081	0.0981771500010387	5.16666917184614	2.38302513991563e-07	0.000201949292799169	XM_006255581	NA	NA	NA
