"TXNAME"	"GENEID"
"ENSRNOT00000109151"	"ENSRNOG00000065394"
"ENSRNOT00000096177"	"ENSRNOG00000070568"
"ENSRNOT00000099343"	"ENSRNOG00000066280"
"ENSRNOT00000109762"	"ENSRNOG00000063562"
"ENSRNOT00000106905"	"ENSRNOG00000063562"
"ENSRNOT00000117015"	"ENSRNOG00000065285"
"ENSRNOT00000112386"	"ENSRNOG00000069170"
"ENSRNOT00000117340"	"ENSRNOG00000066299"
"ENSRNOT00000103141"	"ENSRNOG00000067992"
"ENSRNOT00000072186"	"ENSRNOG00000067992"
"ENSRNOT00000041332"	"ENSRNOG00000069767"
"ENSRNOT00000113016"	"ENSRNOG00000069767"
"ENSRNOT00000110137"	"ENSRNOG00000069767"
"ENSRNOT00000070942"	"ENSRNOG00000069767"
"ENSRNOT00000044187"	"ENSRNOG00000069767"
"ENSRNOT00000105028"	"ENSRNOG00000067737"
"ENSRNOT00000075346"	"ENSRNOG00000050129"
"ENSRNOT00000110396"	"ENSRNOG00000067237"
"ENSRNOT00000107712"	"ENSRNOG00000070200"
"ENSRNOT00000114512"	"ENSRNOG00000062564"
"ENSRNOT00000062030"	"ENSRNOG00000042852"
"ENSRNOT00000101774"	"ENSRNOG00000063801"
"ENSRNOT00000114241"	"ENSRNOG00000064115"
"ENSRNOT00000113321"	"ENSRNOG00000070971"
"ENSRNOT00000111060"	"ENSRNOG00000070971"
"ENSRNOT00000119721"	"ENSRNOG00000064137"
"ENSRNOT00000095737"	"ENSRNOG00000067619"
"ENSRNOT00000019181"	"ENSRNOG00000014303"
"ENSRNOT00000080138"	"ENSRNOG00000049505"
"ENSRNOT00000073528"	"ENSRNOG00000049505"
"ENSRNOT00000020098"	"ENSRNOG00000014916"
"ENSRNOT00000020417"	"ENSRNOG00000014996"
"ENSRNOT00000099868"	"ENSRNOG00000014996"
"ENSRNOT00000021437"	"ENSRNOG00000015552"
"ENSRNOT00000065646"	"ENSRNOG00000016041"
"ENSRNOT00000107998"	"ENSRNOG00000063227"
"ENSRNOT00000080492"	"ENSRNOG00000054005"
"ENSRNOT00000115004"	"ENSRNOG00000067907"
"ENSRNOT00000119523"	"ENSRNOG00000068837"
"ENSRNOT00000079051"	"ENSRNOG00000057302"
"ENSRNOT00000019893"	"ENSRNOG00000014450"
"ENSRNOT00000088292"	"ENSRNOG00000014450"
"ENSRNOT00000111484"	"ENSRNOG00000014450"
"ENSRNOT00000019918"	"ENSRNOG00000014852"
"ENSRNOT00000099572"	"ENSRNOG00000040242"
"ENSRNOT00000061930"	"ENSRNOG00000040242"
"ENSRNOT00000091247"	"ENSRNOG00000054906"
"ENSRNOT00000082128"	"ENSRNOG00000058048"
"ENSRNOT00000094043"	"ENSRNOG00000066763"
"ENSRNOT00000109980"	"ENSRNOG00000068668"
"ENSRNOT00000019994"	"ENSRNOG00000014908"
"ENSRNOT00000114730"	"ENSRNOG00000068605"
"ENSRNOT00000030329"	"ENSRNOG00000025587"
"ENSRNOT00000020946"	"ENSRNOG00000015551"
"ENSRNOT00000073460"	"ENSRNOG00000046983"
"ENSRNOT00000096359"	"ENSRNOG00000046983"
